Estado Pobreza,Sexo,Provincia,Canton,Distrito,Recuento de snb003_id_persona
,,,,,6614
,Desconocido,,,,15014
,Hombre,,,,491059
,Mujer,,,,467077
,No indica,,,,117
,Persona intersex,,,,138
No Pobre,Hombre,GUANACASTE,ABANGARES,COLORADO,759
No Pobre,Mujer,GUANACASTE,ABANGARES,COLORADO,752
No Pobre,Hombre,GUANACASTE,ABANGARES,LA SIERRA,495
No Pobre,Mujer,GUANACASTE,ABANGARES,LA SIERRA,482
No Pobre,,GUANACASTE,ABANGARES,LAS JUNTAS,2
No Pobre,Hombre,GUANACASTE,ABANGARES,LAS JUNTAS,1819
No Pobre,Mujer,GUANACASTE,ABANGARES,LAS JUNTAS,1772
No Pobre,Hombre,GUANACASTE,ABANGARES,SAN JUAN,221
No Pobre,Mujer,GUANACASTE,ABANGARES,SAN JUAN,208
No Pobre,Hombre,SAN JOSE,ACOSTA,CANGREJAL,270
No Pobre,Mujer,SAN JOSE,ACOSTA,CANGREJAL,218
No Pobre,,SAN JOSE,ACOSTA,GUAITIL,1
No Pobre,Hombre,SAN JOSE,ACOSTA,GUAITIL,583
No Pobre,Mujer,SAN JOSE,ACOSTA,GUAITIL,527
No Pobre,Hombre,SAN JOSE,ACOSTA,PALMICHAL,1178
No Pobre,Mujer,SAN JOSE,ACOSTA,PALMICHAL,1159
No Pobre,Hombre,SAN JOSE,ACOSTA,SABANILLAS,285
No Pobre,Mujer,SAN JOSE,ACOSTA,SABANILLAS,197
No Pobre,,SAN JOSE,ACOSTA,SAN IGNACIO,3
No Pobre,Hombre,SAN JOSE,ACOSTA,SAN IGNACIO,2386
No Pobre,Mujer,SAN JOSE,ACOSTA,SAN IGNACIO,2607
No Pobre,,PUNTARENAS,AGUIRRE,NARANJITO,4
No Pobre,Hombre,PUNTARENAS,AGUIRRE,NARANJITO,910
No Pobre,Mujer,PUNTARENAS,AGUIRRE,NARANJITO,814
No Pobre,,PUNTARENAS,AGUIRRE,QUEPOS,4
No Pobre,Hombre,PUNTARENAS,AGUIRRE,QUEPOS,3542
No Pobre,Mujer,PUNTARENAS,AGUIRRE,QUEPOS,3413
No Pobre,,PUNTARENAS,AGUIRRE,SAVEGRE,1
No Pobre,Hombre,PUNTARENAS,AGUIRRE,SAVEGRE,624
No Pobre,Mujer,PUNTARENAS,AGUIRRE,SAVEGRE,541
No Pobre,,ALAJUELA,ALAJUELA,ALAJUELA,3
No Pobre,Hombre,ALAJUELA,ALAJUELA,ALAJUELA,7388
No Pobre,Mujer,ALAJUELA,ALAJUELA,ALAJUELA,8453
No Pobre,,ALAJUELA,ALAJUELA,CARRIZAL,2
No Pobre,Hombre,ALAJUELA,ALAJUELA,CARRIZAL,2039
No Pobre,Mujer,ALAJUELA,ALAJUELA,CARRIZAL,2133
No Pobre,,ALAJUELA,ALAJUELA,DESAMPARADOS,2
No Pobre,Hombre,ALAJUELA,ALAJUELA,DESAMPARADOS,4449
No Pobre,Mujer,ALAJUELA,ALAJUELA,DESAMPARADOS,5077
No Pobre,,ALAJUELA,ALAJUELA,GARITA,1
No Pobre,Hombre,ALAJUELA,ALAJUELA,GARITA,1640
No Pobre,Mujer,ALAJUELA,ALAJUELA,GARITA,1655
No Pobre,Persona intersex,ALAJUELA,ALAJUELA,GARITA,1
No Pobre,,ALAJUELA,ALAJUELA,GUACIMA,4
No Pobre,Hombre,ALAJUELA,ALAJUELA,GUACIMA,5275
No Pobre,Mujer,ALAJUELA,ALAJUELA,GUACIMA,5542
No Pobre,Hombre,ALAJUELA,ALAJUELA,RIO SEGUNDO,2166
No Pobre,Mujer,ALAJUELA,ALAJUELA,RIO SEGUNDO,2386
No Pobre,,ALAJUELA,ALAJUELA,SABANILLA,10
No Pobre,Hombre,ALAJUELA,ALAJUELA,SABANILLA,2084
No Pobre,Mujer,ALAJUELA,ALAJUELA,SABANILLA,2206
No Pobre,,ALAJUELA,ALAJUELA,SAN ANTONIO,4
